scanner,combo,ctype,be,n_candidates,n_confirmed,n_executed,funnel_pct,wr,er,pf,dwr,der
EOD_BREAKOUT,G5_G13_FAST_CLV,PAIR,0.8,10523,1055,1055,10.0,19.81,-0.3411,0.572,-25.11,-0.4911
EOD_BREAKOUT,G5_G13_FAST_CLV,PAIR,1.0,10523,1055,1055,10.0,19.81,-0.3582,0.56,-25.11,-0.5082
EOD_BREAKOUT,G5_G13_FAST_CLV,PAIR,1.2,10523,1055,1055,10.0,19.81,-0.3753,0.549,-25.11,-0.5253
EOD_BREAKOUT,G5_G13_FAST_CLV,PAIR,1.5,10523,1055,1055,10.0,19.81,-0.4014,0.532,-25.11,-0.5514
EOD_BREAKOUT,G7_G13_BULL_CLV,PAIR,0.0,10523,3177,3177,30.2,43.85,-0.0618,0.875,-1.07,-0.2118
EOD_BREAKOUT,G7_G13_BULL_CLV,PAIR,0.5,10523,3177,3177,30.2,43.85,0.0217,1.052,-1.07,-0.1283
EOD_BREAKOUT,G7_G13_BULL_CLV,PAIR,0.8,10523,3177,3177,30.2,43.85,0.0108,1.025,-1.07,-0.1392
EOD_BREAKOUT,G7_G13_BULL_CLV,PAIR,1.0,10523,3177,3177,30.2,43.85,0.0017,1.004,-1.07,-0.1483
EOD_BREAKOUT,G7_G13_BULL_CLV,PAIR,1.2,10523,3177,3177,30.2,43.85,-0.0074,0.983,-1.07,-0.1574
EOD_BREAKOUT,G7_G13_BULL_CLV,PAIR,1.5,10523,3177,3177,30.2,43.85,-0.0156,0.965,-1.07,-0.1656
EOD_BREAKOUT,G7_G14_BULL_ASYM,PAIR,0.0,10523,2608,2608,24.8,37.77,-0.1363,0.793,-7.15,-0.2863
EOD_BREAKOUT,G7_G14_BULL_ASYM,PAIR,0.5,10523,2608,2608,24.8,37.77,-0.0123,0.977,-7.15,-0.1623
EOD_BREAKOUT,G7_G14_BULL_ASYM,PAIR,0.8,10523,2608,2608,24.8,37.77,-0.0298,0.946,-7.15,-0.1798
EOD_BREAKOUT,G7_G14_BULL_ASYM,PAIR,1.0,10523,2608,2608,24.8,37.77,-0.0411,0.927,-7.15,-0.1911
EOD_BREAKOUT,G7_G14_BULL_ASYM,PAIR,1.2,10523,2608,2608,24.8,37.77,-0.0532,0.907,-7.15,-0.2032
EOD_BREAKOUT,G7_G14_BULL_ASYM,PAIR,1.5,10523,2608,2608,24.8,37.77,-0.0681,0.884,-7.15,-0.2181
EOD_BREAKOUT,G8_G14_NBEAR_ASYM,PAIR,0.0,10523,3750,3750,35.6,36.53,-0.1431,0.782,-8.39,-0.2931
